"A. Overholt Monongahela Mash Straight Rye Whiskey","","Caramel, subtle layers of sandalwood and caraway","Brown butter, honeysuckle, clove, seasoned oak","Pleasant, lingering notes of warm rich baking spice","A. Overholt official tasting notes"
"Aberlour Double Cask Matured Batch AB16 3-21 16 Year Old Single Malt Scotch Whisky","Warm golden amber","Creamy with sweet raisin aromas and spicy nuttiness","Smooth blend of floral and spicy flavors with sweet plum fruitiness and gentle oak","Gloriously long with warm honeyed spiciness","Specs Online"
"Aberlour Double Charred Selection","<cite index=""4-1"">Rich amber with a coppery sheen</cite>","<cite index=""3-3"">Sweet vanilla, toffee, toasted oak, heather honey, dried vine fruit, chocolate, and cocoa powder</cite>","<cite index=""3-4"">Rich, indulgent, and delicious, with flavors of milk chocolate, brown sugar, vanilla essence, Nutella, gingersnap, toasty oak, and spiced chocolate</cite>","<cite index=""7-15,7-16,7-17"">Long and warming with oak characteristics, sweet and fruity elements slowly fade and add a sugary, almost tropical, juiciness. The gingerbread note then leads with cinnamon and clove</cite>","Whisky Advocate, Whisky for Everyone, Delicando"
"Angel's Envy Bourbon Finished in Port Wine Barrels","Rich amber","Honey, toffee, vanilla, toasted oak, pepper, allspice, rye spice","Brown sugar, toasted oak, a bit of smoke, light fruits, citrus, pepper, rye spice","Medium finish with oak and smokey finish with lingering pepper spice","Secret Whiskey Society"
"Angel's Envy Kentucky Straight Bourbon Whiskey Finished in Tawny Port Casks","Deep amber to burnt orange","Dry fruit and oak; black pepper, toasted nuts, clove and delicate cinnamon spice","Black pepper, toasted nuts, clove and delicate cinnamon spice with a hint of dried apricot","Light and lingering, reminiscent of dried fruit dipped in dark chocolate","Angel's Envy Official"
"Angel's Envy Single Barrel Sherry Cask","Deep mahogany with glints of copper","Dried fruit, caramel, toasted oak, fig, dark chocolate, and spice","Caramel, toffee, vanilla, dark fruit, honey, nuttiness from sherry cask","Long and smooth with lingering oak notes, dried fruit, and gentle spice","De Wine Spot & Bourbon Veach"
"Angels Envy Small Batch Limited Release Kentucky Straight Rye Whiskey","Deep amber","Warm cinnamon and nutmeg spice, toasted vanilla, dried orange peel, and faint cedar-wood nuance","Lively rye spice with honeyed grain, crème brûlée, dried fruit","Long and warming with oak, cinnamon, and soft sweetness","Keg N Bottle / The Barrel Tap"
"Ardbeg Anthology The Harpy's Tale 13 Year Single Malt Scotch","","Very distinctively oily, with touches of extra virgin olive oil, sweet briar wood, aromatic herbs (coriander & sage) and a suggestion of smoked lemon peel","A soft, oily, mouthcoating texture leads into a rich, sweet, smoky palate, with hints of oak moss, treacle, aniseed lozenges and a lovely, sweet, woody/balsamic flavour","","Master of Malt"
"Ardbeg Eureka Single Malt Scotch Whisky","","Juicy red apples and plump cherries with signature smoke and fresh coffee granules","Nut toffee brittle, raisin fudge and dark fruits with salted crispy seaweed","Long and chewy with sweet treacle toffee and burning embers","Ardbeg Official"
"Arran Remnant Renegade Signature Series Edition 1","","Candied orange, baking spices, toffee apples","Liquorice, chestnut honey, touch of spearmint","Long and lingering with orange zest and fresh floral notes","The Whisky Exchange, Hard To Find Whisky"
"Arran Sherry Cask Finish Cask Strength Single Malt","Reddish Amber","Chocolate raisins, mandarins, hint of spice","Cherry cordials, rancio, tinned figs, dark caramel, sultanas","Long and delectable with lingering notes of cocoa and wood","Arran official website and Flaviar"
"Baker's High Rye Bourbon","","<cite index=""1-1"">Charred oak, vanilla, and caramel</cite>","<cite index=""1-1"">Charred oak, brown sweets, and rye spice</cite>","","Beam Distilling"
"Barrell Bourbon 20 Year Old Toasted Single Barrel Bourbon Whiskey","<cite index=""6-5"">Polished cherrywood</cite>","<cite index=""6-6,6-7,6-9,6-10,6-11"">Antique oak furniture, fresh varnish and lemon oil, spice cupboard and warm cola, sourdough toast, cigar tobacco, banana bread, walnuts, creme de menthe, dried coconut</cite>","<cite index=""6-12,6-13"">Warm cola, sweetness and acidity, vintage fernet, thyme, pine needles</cite>","","Barrell Craft Spirits official tasting notes"
"Barrell Craft Spirits 10th Anniversary Blend","Medium-dark amber","Butterscotch, hazelnut liqueur, montmorency cherry, black currant","Honey, nougat, nocino, salmiak; caramel, vanilla, tobacco, allspice","Long, burnt brown sugar, tobacco, no dryness","TIPXY, Mostly Bourbon, Distiller"
"Barrell Craft Spirits Armida","<cite index=""3-1"">Deep Rose Gold</cite>","<cite index=""3-1"">Ripe pear up front | Floral | Light vanilla & caramel in the background | Exceptionally fragrant</cite>","<cite index=""3-1"">Ripe pear | Mix of dark fruits | Anise | Sweet molasses | Baking spices | Rich & full of flavor with a dynamic shift from fruit to sweet-spicy notes</cite>","<cite index=""3-1"">Tobacco | Seasoned oak | Hint of aged oak | Slight dryness | Medium length</cite>","Breaking Bourbon"
"Barrell Craft Spirits Cask Strength Batch 32","Tawny","A wildflower meadow showing dandelion, nasturtium, and fennel","Sugars and oils combined with fine tannin, light astringency, and spicy black peppercorn","Bitter orange peel, fennel seed, and turmeric","Barrell Craft Spirits"
"Barrell Craft Spirits Foundation Bourbon","Golden amber","Honey, candied-strawberry, dark cherry, grilled cantaloupe, lavender, fennel, cocoa, brown butter, cardamom","Creamy and sweet, cinnamon, toffee, vanilla pudding. With water: bananas fosters, citrus zest, lemongrass, orange sherbet","Grilled peaches and hazelnut linger, followed by lemon and lime zest with oily, waxy fruit peel","Barrell Craft Spirits"
"Barrell Craft Spirits Infinite Barrel","","Muskiness akin to tanned leather, preserved citrus, cocoa and toasted spice","Cinnamon candy, turmeric, cacao, singed marshmallow and buckwheat honey with bitters","","The Whiskey Wash (review)"
"Barrell Craft Spirits Private Release","","","","","ERROR: Error: no JSON in the reply. stop_reason=end_turn text=I need to note that Barrell Craft Spirits Private Release is a series with many different individual bottlings, each with unique characteristics. The search results show various releases with differen"
"Barrell Craft Spirits Private Release Whiskey","","","","","ERROR: Error: no JSON in the reply. stop_reason=end_turn text=The search results show that ""Barrell Craft Spirits Private Release Whiskey"" is actually a series with multiple releases, each with different characteristics. Since there's no single standardized bott"
"Barrell Craft Spirits Rye Batch 4","<cite index=""12-8"">Copper penny with pumpkin highlights</cite>","<cite index=""12-10,12-11,12-12,12-13"">Blackberry, dried apricot and Concord grape lead off. The grape introduces woodsy tones of blonde tobacco, birch oil and dandelion root. Rye lends its familiar bouquet garni, lemon verbena, and peppermint aromatics. Meanwhile an unhurried maturation has produced cashew, tahini and nocino.</cite>","<cite index=""15-8,15-9,15-10"">The first impression mirrors the nose but here grape soda is joined by a dark amber maple syrup. Burnt marshmallow leads into rich espresso and black licorice. There's a deep umami presence of leather, black olive, and grilled onion.</cite>","<cite index=""5-3"">The finish is resinous, developing mastic, rosemary, and lavender.</cite>","Barrell Craft Spirits official"
"Barrell Craft Spirits Whiskey 33 Year","Dark goldenrod","Begins with a gentleness that belies its high strength. Rather, it opens ethereally on concord grape and ozone. Fudge is lifted by the spirit's fresh lager and green grape and grounded in age's paraffin and dusty attic. The finishing casks are seamlessly integrated; the oloroso expanding the complexity with elderberry and walnut shells. French oak pads out the nose with the richness of pistachio ice cream.","Shows its proof now, but beneath it lies a syrupy foundation of grenadine, hazelnut liqueur, and poppyseed. Hay and buttered popcorn typify Canadian whisky's retention of primary grain flavors. The oak displays primary flavors including endive and pine resin.","Deep, mulchy earthiness.","Barrell Craft Spirits"
"Benriach The Smoky Ten 10 Year Single Malt","Bright gold","Ripe orchard fruit syrup, smoked honey glaze and oak spice","Smoked applewood, honey maple and spiced pear finishing with lingering fruit and smoked oak","Lingering fruit and smoked oak","Benriach Distillery / InternetWines.com"
"Blanton's Black Label Single Barrel Bourbon","","<cite index=""17-4"">Soft aromas of caramel, vanilla, honey, and orange peel layered with subtle floral notes, toasted oak, and hints of cinnamon</cite>","<cite index=""17-5"">Smooth and refined, revealing notes of butterscotch, light brown sugar, dried fruit, vanilla cream, and gentle baking spice, complemented by touches of citrus zest and mellow oak</cite>","<cite index=""2-6"">Clean, silky, and well-balanced, leaving lingering notes of soft caramel, light pepper, oak, and delicate sweetness</cite>","OnlineLiquor.com"
"Blanton's Gold","Coppered amber","Honey, heavy rye, dried fruits, vanilla and chocolate","Full and rich, marked by apricot, butter, pepper, light honey and oak","Long, with toffee and apple, developing on pecan and caramel","Virginia ABC"
"Blanton's Green Label Special Reserve Bourbon","Golden amber","Honey, citrus peel, vanilla, light oak, and soft baking spice","Smooth blend of caramel, sweet corn, vanilla cream, and toasted oak with subtle baking spice","Gentle and lingering, with notes of vanilla, light spice, caramel, light pepper, and soft sweetness","Whiskey Caviar, Nestor Liquor, OnlineLiquor.com"
"Blanton's Original Single Barrel Kentucky Straight Bourbon Whiskey","Dark Orange","Creamy vanilla, caramel, butterscotch, baking spices (clove, nutmeg, cinnamon)","Sweet citrus, dried fruit, honey, corn, firm rye backbone, oak","Medium-long with corn, nutmeg, warm spice, citrus, honey notes","Blanton's official website, Wooden Cork, Total Bourbon"
"Blanton's Straight From The Barrel","","<cite index=""12-6"">Dark chocolate, caramel and butter with earthy undertones of walnut and hazelnut</cite>","<cite index=""12-7"">Warm vanilla, oak, toasted nuts and a rich spiciness with hints of butterscotch or honey</cite>","<cite index=""5-1"">Long finish with notes of Red Hots, Mexican hot chocolate, nutmeg, and clove</cite>","Blanton's official website, The Whisky Study"
"Blood Oath Pact No. 11","Deep mahogany","Vanilla, grilled corn, orange zest, honey with a vegetal note","Vanilla, cracked pepper, chili oil, lime, grapefruit and a bit of milk chocolate","Moderate in length, drying with vegetal notes","Whiskey Apostle / Lux Row Distillers"
"Blue Spot","Deep gold","Pineapple, kiwi, green banana, lime zest, pot still spices, baked apple, hazelnut, toasted wood","Smooth mouthfeel with fruit, clove oil, black pepper, sweet spices, vanilla, cinnamon, nutty","Exotic fruits and spices balanced, lasting and palatable","Spotwhiskey official website"
